acl 2.2.52-4
libgpg-error 1.27-1
libgudev 232-1
libgusb 0.2.11-1
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.33-2
libiec61883 1.2.0-4
libindicator-gtk3 12.10.1-7
libinput 1.8.3-1
libinput-gestures 2.29-1
libixion 0.12.2-3
libjpeg-turbo 1.5.2-1
libjpeg6-turbo 1.5.2-1
libksba 1.3.5-1
liblangtag 0.6.2-1
libldap 2.4.45-4
liblouis 3.3.0-1
liblqr 0.4.2-1
libmariadbclient 10.1.28-1
libmm-glib 1.6.8-1
libmms 0.6.4-2
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmp4v2 2.0.0-4
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-5
libmspub 0.1.2-7
libmtp 1.1.14-1
libmwaw 0.3.12-1
libmythes 1:1.2.4-2
libndp 1.6-1
libnewt 0.52.20-1
libnftnl 1.0.7-1
libnghttp2 1.23.1-1
libnl 3.3.0-1
libnm 1.8.4-1
libnm-glib 1.8.4-1
libnotify 0.7.7-1
libodfgen 0.1.6-1
libofa 0.9.3-7
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
liborcus 0.12.1-3
libpagemaker 0.0.3-1
libpaper 1.1.24-10
libpcap 1.8.1-2
libpciaccess 0.13.5-1
libpgm 5.2.122-2
libpipeline 1.4.2-1
libpng 1.6.34-2
libpng12 1.2.57-1
libproxy 0.4.15-6
libpsl 0.18.0-1
libpulse 11.1-1
libpwquality 1.3.0-2
libraqm 0.3.0-2
libraw1394 2.1.2-1
libreoffice-extension-languagetool 3.8-1
libreoffice-fresh 5.4.2-2
librevenge 0.0.4-1
librsvg 2:2.40.19-1
libsamplerate 0.1.9-1
libsasl 2.1.26-11
libseccomp 2.3.2-1
libsecret 0.18.5+14+g9980655-1
libsigsegv 2.11-1
libsm 1.2.2-2
libsndfile 1.0.28-1
libsodium 1.0.15-1
libsoup 2.60.1-1
libsoxr 0.1.2-1
libsrtp 1:1.5.4-2
libssh 0.7.5-2
libssh2 1.8.0-2
libsynctex 2017.44590-7
libsystemd 235.0-1
libtasn1 4.12-2
libteam 1.26-1
libthai 0.1.26-1
libtheora 1.1.1-3
libtiff 4.0.8-2
libtirpc 1.0.2-1
libtommath 1.0.1-1
libtool 2.4.6+40+g6ca5e224-1
libtxc_dxtn 1.0.1-6
libunistring 0.9.7-1
libunrar 1:5.5.8-1
libunwind 1.2.1-1
libusb 1.0.21-2
libusb-compat 0.1.5-1
libutempter 1.1.6-2
libutil-linux 2.30.2-1
libuv 1.15.0-1
libva 1.8.3-1
libva-intel-driver 1.8.3-1
libva-utils 1.8.3-1
libvdpau 1.1.1-2
libvisio 0.1.5-4
libvisual 0.4.0-6
libvoikko 4.1.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libwacom 0.24-1
libwebp 0.6.0-1
libwmf 0.2.8.4-14
libwpd 0.10.2-1
libwpg 0.3.2-1
libwps 0.4.7-1
libx11 1.6.5-1
libx264 2:148.20170521-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.2-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.2-1
libxkbcommon-x11 0.7.2-1
libxkbfile 1.0.9-1
libxml2 2.9.5+6+g07e227ed-1
libxmu 1.1.2-1
libxp 1.0.3-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.30-2
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzmf 0.0.2-1
licenses 20171006-1
linux 4.13.5-1
linux-api-headers 4.12.7-1
linux-firmware 20170907.a61ac5c-1
linux-headers 4.13.5-1
linux-zen 4.13.5-1
linux-zen-headers 4.13.5-1
llvm-libs 5.0.0-1
lm_sensors 3.4.0-2
logrotate 3.12.3-1
lpsolve 5.5.2.5-2
lua 5.3.4-2
lua51 5.1.5-6
lua52 5.2.4-2
lvm2 2.02.175-1
lxappearance 0.6.3-1
lz4 1:1.8.0-1
lzo 2.10-1
m4 1.4.18-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.13-1
mariadb-clients 10.1.28-1
mathomatic 16.0.5-4
mdadm 4.0-1
mercurial 4.3.3-1
mesa 17.2.2-1
mime-types 9-1
minizip 1:1.2.11-2
mjpegtools 2.1.0-3
mkinitcpio 23-2
mkinitcpio-busybox 1.26.1-1
mlocate 0.26-6
mnemosyne 2.5-5
mobile-broadband-provider-info 20170310-1
mono 5.0.0.100-2
mono-addins 1.1-1
mpfr 3.1.5.p2-1
mpv 1:0.27.0-1
mtdev 1.1.5-1
mythes-en 20060306-3
nano 2.8.7-1
ncurses 6.0+20170902-1
ncurses5-compat-libs 6.0+20170902-1
neofetch 3.3.0-1
neomutt 20170912-1
neon 0.30.2-2
net-tools 1.60.20160710git-1
netctl 1.13-2
nettle 3.3-1
network-manager-applet-indicator 1.8.4-1
networkmanager 1.8.4-1
networkmanager-dmenu-git r79.a999153-1
networkmanager-openvpn 1.8.1dev+10+ge4d8cda-1
nm-connection-editor 1.8.4-1
nmap 7.60-1
nodejs 8.7.0-1
notmuch-runtime 0.25.1-1
noto-fonts 20170920-2
npm 5.5.1-1
npth 1.5-1
nspr 4.17-1
nss 3.33-2
nss-mdns 0.10-6
ntp 4.2.8.p10-2
numix-gtk-theme 2.6.7-1
ocl-icd 2.2.11-1
oniguruma 6.6.1-1
openal 1.18.2-1
opencl-headers 2:2.2.20170516-1
opencl-nvidia 387.12-1
opencore-amr 0.1.5-1
opencryptoki 3.7.0-2
openjpeg2 2.3.0-1
openresolv 3.9.0-1
opensc 0.17.0-1
openssh 7.6p1-1
openssl 1.1.0.f-2
openssl-1.0 1.0.2.l-1
openvpn 2.4.4-1
optipng 0.7.6-2
opus 1.2.1-1
orc 0.4.27-1
os-prober 1.76-1
p11-kit 0.23.9-1
pacaur 4.7.10-1
pacman 5.0.2-2
pacman-mirrorlist 20170907-1
pam 1.3.0-1
pam_encfs 0.1.4.4-4
pam_ssh 2.1-4
pambase 20171006-1
pamixer 1.3.1-7
pango 1.40.12-1
pango-perl 1.227-8
paper-icon-theme 1.4.0-1
parted 3.2-6
patch 2.7.5-1
pciutils 3.5.5-1
pcmciautils 018-7
pcre 8.41-1
pcre2 10.30-1
pcsc-perl 1.4.14-5
pcsc-tools 1.5.2-2
pcsclite 1.8.22-1
perl 5.26.1-1
perl-error 0.17025-2
perl-file-which 1.21-3
perl-term-extendedcolor 0.224-5
perl-term-extendedcolor-xresources 0.072-1
perl-term-readkey 2.37-4
perl-uri 1.72-2
perl-xml-parser 2.44-6
pinentry 1.0.0-1
pinta 1.6-2
pixman 0.34.0-1
pkcs11-helper 1.22-2
pkg-config 0.29.2-1
podofo 0.9.5-2
polkit 0.113+29+g3272a98-1
poppler 0.60.1-1
popt 1.16-9
postgresql-libs 9.6.5-1
potrace 1.14-1
powertop 2.9-1
presentproto 1.1-1
prezto-git r1693.25d8db30-1
printproto 1.0.5-3
procps-ng 3.3.12-1
protobuf 3.3.2-1
psmisc 23.1-1
pulseaudio 11.1-1
pulseaudio-alsa 2-3
pulseaudio-bluetooth 11.1-1
pulsemixer 1.2.0-1
pygobject-devel 3.26.0-1
pygobject2-devel 2.28.6-13
pygtk 2.24.0-7
pyqt5-common 5.9-2
python 3.6.2-1
python-appdirs 1.4.3-1
python-attrs 17.2.0-1
python-beaker 1.8.1-2
python-cheroot 5.8.3-2
python-cherrypy 11.0.0-5
python-cycler 0.10.0-2
python-dateutil 2.6.1-1
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-feedparser 5.2.1-2
python-gobject 3.26.0-1
python-jinja 2.9.6-1
python-mako 1.0.7-1
python-markupsafe 1.0-1
python-matplotlib 2.1.0-1
python-numpy 1.13.3-1
python-olefile 0.44-1
python-packaging 16.8-2
python-pillow 4.3.0-1
python-portend 2.2-1
python-pygments 2.2.0-1
python-pyparsing 2.2.0-1
python-pypeg2 2.15.2-2
python-pyqt5 5.9-2
python-pytz 2017.2-1
python-setuptools 1:36.6.0-1
python-sgmllib 5.2.1-2
python-sip 4.19.3-1
python-six 1.11.0-1
python-tempora 1.9-1
python-webob 1.7.3-1
python-yaml 3.12-3
python2 2.7.14-1
python2-appdirs 1.4.3-1
python2-apsw 3.15.2-1
python2-beautifulsoup4 4.6.0-1
python2-cairo 1.13.3-1
python2-chardet 3.0.4-1
python2-cssselect 1.0.1-1
python2-cssutils 1.0.2-1
python2-dateutil 2.6.1-1
python2-dbus 1.2.4-2
python2-dnspython 1.15.0-2
python2-dukpy 0.3-2
python2-gnomekeyring 2.32.0-17
python2-gobject 3.26.0-1
python2-gobject2 2.28.6-13
python2-gtkspellcheck 4.0.5-4
python2-html5-parser 0.4.4-1
python2-html5lib 0.999999999-2
python2-lxml 4.0.0-1
python2-mechanize 1:0.3.5-1
python2-msgpack 0.4.8-2
python2-netifaces 0.10.6-1
python2-olefile 0.44-1
python2-packaging 16.8-2
python2-pillow 4.3.0-1
python2-psutil 5.4.0-1
python2-pyenchant 1.6.11-1
python2-pygments 2.2.0-1
python2-pyparsing 2.2.0-1
python2-pyqt5 5.9-2
python2-regex 2017.09.23-1
python2-setproctitle 1.1.10-2
